radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
1,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,580,1.7771990086887717e-09,0.2341887136638543,1.6614925824978434e-09,0.31529838139531796,1.1570642619092822e-10,1.1570642619081387e-10,0.0004679370167319244,7.055549682850389e-11,2.472692308014194e-07,0.7356992774417728,0.0021230670786323014,False
1,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,580,8.43180297992097e-10,0.1580248336959209,8.652921065565375e-10,0.1617558281044721,-2.2111808564440493e-11,-2.2111808563728875e-11,0.00013001745938836143,4.4626613836489725e-07,-1.7006799446588958e-07,0.6821248865157925,0.002066774189107723,False
1,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,580,5.102607482404239e-10,0.1395921155423383,5.137743566836534e-10,0.14492235845499618,-3.513608443229517e-12,-3.513608443104597e-12,5.9872444947177924e-05,6.292214508910199e-05,-5.868489997701706e-08,0.8826653889318931,0.002043705867589396,False
1,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,580,3.246250029641968e-10,0.09710282686124472,3.289257641609739e-10,0.09506480498705445,-4.300761196777059e-12,-4.300761196477578e-12,2.899830180844895e-05,0.0016423948731649628,-1.483107950557473e-07,0.7053084081609075,0.002076137946533496,False
2,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,1854,5.361467554506543e-09,0.12800979605618454,4.819521941775169e-09,0.20066823181851012,5.419456127313742e-10,5.41945612732956e-10,0.0004664144299507785,4.761180394768409e-11,1.1619400643117934e-06,0.4139487385682181,0.0072506581911441215,False
2,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,1854,2.45668805055186e-09,0.08227644104782583,2.5050359976148084e-09,0.08530851665385017,-4.834794706294832e-11,-4.834794706346618e-11,0.00013009975042449235,4.6849715820505996e-07,-3.7162213536701975e-07,0.7016309616159638,0.0070323282332350745,False
2,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,1854,1.4650357627101052e-09,0.07053683537039143,1.4929405444953475e-09,0.07156169509480197,-2.7904781785242364e-11,-2.7904781784404378e-11,6.024002358630868e-05,6.961117679427377e-05,-4.632266078784631e-07,0.6137436009365386,0.006923690248468839,False
2,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,1854,9.265540949307805e-10,0.04505644805345049,9.52569824702704e-10,0.04272579574610492,-2.6015729771923436e-11,-2.6015729771036366e-11,2.9436809625650065e-05,0.0016643517318832444,-8.837822475288659e-07,0.37810736828037994,0.007100358421969322,False
3,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,3715,8.285955819825329e-09,0.11705213364111339,7.041783572932716e-09,0.19445777785731078,1.2441722468926122e-09,1.2441722468867483e-09,0.0004673100699551704,4.651087695866665e-11,2.6624126610541544e-06,0.24890142275065252,0.00823668097202268,False
3,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,3715,3.881432382333717e-09,0.06482863919571696,3.9309043475744325e-09,0.06461539921816174,-4.9471965240715143e-11,-4.947196523811288e-11,0.0001303183741100669,4.7025700366453235e-07,-3.796238679000772e-07,0.8099975470328746,0.007958567175813558,False
