radius_km,window_days,treatment_col,mediator_col,n,n_wells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
1,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-3.7878443921487763e-10,0.3550447023263439,-4.5293356819526823e-10,0.35542378073167746,7.41491289803906e-11,7.414912898044096e-11,0.0010567071740632849,2.6764814679035143e-11,7.016998729678375e-08,0.8209408986664606,0.0006850031282302771,False
1,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-1.9440296366619917e-10,0.2647071993795811,-2.476281193104095e-10,0.24131498123228168,5.322515564421034e-11,5.322515564361143e-11,0.0003910786838370242,3.632512945622057e-23,1.3609832967984562e-07,0.6808721666743687,0.0006284912460284842,False
1,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-1.265363656004853e-10,0.28647502619339427,-1.6378664428153843e-10,0.22319302156929532,3.725027868105313e-11,3.725027868107096e-11,0.00019939192123515353,3.935710528231024e-22,1.868193979491261e-07,0.5712011508349218,0.0006378018909782845,False
1,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-1.189011813258295e-10,0.24742985904278603,-1.2820242718219642e-10,0.1980143586201858,9.301245856366929e-12,9.301245856434518e-12,9.762411497379383e-05,2.7586369557019213e-17,9.527610938067239e-08,0.7837882193173087,0.0006801924137466164,False
2,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,5.715857057475409e-10,0.7079042462267263,-4.890904199944513e-10,0.7659972997233606,1.0606761257419923e-09,1.0606761257390134e-09,0.0010456068875438936,3.087049101921068e-11,1.0144119538371799e-06,0.29113245326762305,0.0038924285037469364,False
2,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,4.882908361517269e-12,0.993966712929578,-4.2418345818194545e-10,0.5380801184186983,4.290663665434627e-10,4.2906636654185395e-10,0.0003868220591447884,6.909423633229852e-23,1.109208630682702e-06,0.26430717468228804,0.003673466665280456,False
2,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-5.585864989589093e-11,0.8904220219705177,-2.597187803504226e-10,0.5235352063002299,2.0386013045453168e-10,2.0386013045424372e-10,0.0001968939206984454,1.0817519573908385e-21,1.035380522319262e-06,0.291251042889462,0.003653500603595261,False
2,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-9.320821710285423e-11,0.7235385876140124,-1.7534716875476448e-10,0.48938098661974705,8.213895165191025e-11,8.213895165233743e-11,9.606799913639645e-05,9.474514954516141e-17,8.550084564134339e-07,0.3875091719436413,0.0037191174909729785,False
3,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,2.5748446096282773e-10,0.9340338996573615,-1.7755967756066193e-09,0.5944064817348551,2.033081236569447e-09,2.033081236566895e-09,0.0010453662445183143,2.492498578690235e-11,1.9448506657144853e-06,0.30562908360532304,0.0072497022479781625,False
3,90,cum_vol_90d_BBL,bhp_vw_avg_90d,589427,632,-1.3869197453443165e-10,0.9182891427978448,-8.228884477711368e-10,0.5669109729774042,6.841964732367052e-10,6.841964732327573e-10,0.0003865294425292142,5.2403715329451485e-23,1.77010182912792e-06,0.36859203905685933,0.006904893158711567,False
3,180,cum_vol_180d_BBL,bhp_vw_avg_180d,606364,632,-2.553677628921805e-11,0.9754474637413737,-3.6416582308114003e-10,0.6677700601555014,3.3862904679192196e-10,3.3862904679296235e-10,0.00019685404101269275,8.843231616005084e-22,1.7202036851817953e-06,0.3895699322177778,0.006814789100941465,False
3,365,cum_vol_365d_BBL,bhp_vw_avg_365d,623490,632,-2.062889272806081e-11,0.9689428997428584,-1.975254884619377e-10,0.7072152522052856,1.7689659573387687e-10,1.76896595733588e-10,9.62030277740557e-05,6.920643650549458e-17,1.8387840780754924e-06,0.35840766614705355,0.0067827551159551636,False
4,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,4.1345075155774626e-11,0.9932251642174703,-3.7555087707790926e-09,0.45794234607815,3.796853845934867e-09,3.7968538459270195e-09,0.0010449110102535289,2.444165873943724e-11,3.6336623967679133e-06,0.1829479312359168,0.009037694496318083,False
