radius_km,window_days,treatment_col,mediator_col,n,n_wells,total_effect,total_pval,total_ci_low,total_ci_high,direct_effect,direct_pval,direct_ci_low,direct_ci_high,indirect_diff,indirect_product,indirect_ci_low,indirect_ci_high,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag,bootstrap_ok,placebo_effect,rcc_mean,rcc_std,sensitivity_strength_0.10,sensitivity_strength_0.30,sensitivity_strength_0.50,refutation_status,avg_vif
1,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-3.7878443921487763e-10,0.3550447023263439,-1.0274981318212304e-09,5.879580642155311e-10,-4.5293356819526823e-10,0.35542378073167746,-1.2747621579345912e-09,3.8301319659931336e-10,7.41491289803906e-11,7.414912898044096e-11,-5.11232235063191e-10,5.876827277019201e-10,0.0010567071740632849,2.6764814679035143e-11,7.016998729678375e-08,0.8209408986664606,0.0006850031282302771,False,50,4.576311494451084e-10,-3.7894516079102777e-10,5.917368865945847e-13,2.2313184381362407e-09,2.11706018235344e-08,5.103216583966432e-08,NULL,4.253237993683395
2,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,5.715857057475409e-10,0.7079042462267263,-1.701771327689113e-09,4.519346812528393e-09,-4.890904199944513e-10,0.7659972997233606,-2.863629763437631e-09,2.3464805934414732e-09,1.0606761257419923e-09,1.0606761257390134e-09,-7.053891546937458e-10,2.6090644302332254e-09,0.0010456068875438936,3.087049101921068e-11,1.0144119538371799e-06,0.29113245326762305,0.0038924285037469364,False,50,9.54864053509093e-10,5.715333319858898e-10,6.440308057162183e-13,5.860279937961724e-09,4.4688919670439324e-08,1.0591753173092923e-07,NULL,4.288113693208038
3,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,2.5748446096282773e-10,0.9340338996573615,-5.657470394356692e-09,5.56758183137321e-09,-1.7755967756066193e-09,0.5944064817348551,-7.136050958055575e-09,3.818813185618067e-09,2.033081236569447e-09,2.033081236566895e-09,-1.5749047998282127e-09,5.564094277676708e-09,0.0010453662445183143,2.492498578690235e-11,1.9448506657144853e-06,0.30562908360532304,0.0072497022479781625,False,50,6.627275584309634e-10,2.572221042004678e-10,9.93860333757977e-13,8.356496572576703e-09,6.78347510432307e-08,1.626914364021183e-07,NULL,4.292573679124749
4,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,4.1345075155774626e-11,0.9932251642174703,-9.689545915690543e-09,8.568265012051108e-09,-3.7555087707790926e-09,0.45794234607815,-1.3592095147087545e-08,4.698794373959663e-09,3.796853845934867e-09,3.7968538459270195e-09,-1.1188142473229936e-09,9.60565857912006e-09,0.0010449110102535289,2.444165873943724e-11,3.6336623967679133e-06,0.1829479312359168,0.009037694496318083,False,50,2.1501096838912197e-09,4.120585525719719e-11,1.3926409359485924e-12,1.0356870533716153e-08,8.702042671376677e-08,2.0890599861781683e-07,NULL,4.309079189062751
5,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-4.30234875584356e-10,0.9497196108068519,-1.40477810884499e-08,1.227577150355595e-08,-6.176300297698396e-09,0.3626712632774979,-1.9866944044184485e-08,7.043903989549776e-09,5.74606542211404e-09,5.746065422093339e-09,-7.573006762088784e-10,1.2188212496429575e-08,0.0010426486966929795,2.8713484164414304e-11,5.511027290705315e-06,0.10105637672484555,0.010738931123660977,False,50,5.117117498576602e-09,-4.304816575195898e-10,2.104453439626095e-12,1.1898036305991989e-08,1.0445426284513072e-07,2.5114755626207014e-07,NULL,4.32473043143792
6,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-2.6592381778721736e-09,0.7537292034910474,-1.909219800933026e-08,1.481358918734557e-08,-8.261165875773566e-09,0.318884736952896,-2.413796961399142e-08,8.84861816465683e-09,5.601927697901393e-09,5.601927697890159e-09,-1.3691547727481326e-09,1.329548009375641e-08,0.0010433656468991147,2.7290017102234128e-11,5.369093485624241e-06,0.16393805779313197,0.013706988918433805,True,50,3.5823016065656944e-09,-2.6595980375735692e-09,1.9224153119748683e-12,1.1699339981392265e-08,1.194573709404967e-07,2.905526953179114e-07,FLAG,4.325341057437918
7,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-1.9368250670506375e-09,0.850915324257279,-2.0770281690257942e-08,1.822810693111608e-08,-7.910308336567792e-09,0.42741620061878793,-3.0867812019582014e-08,9.195024510806036e-09,5.973483269517155e-09,5.973483269507104e-09,-1.1842678798942753e-09,1.5318177117177154e-08,0.001043624074140524,2.699471818640383e-11,5.723788304161691e-06,0.19386464184684904,0.017397289630781354,True,50,3.906145420106513e-09,-1.9366378183424875e-09,2.275502510109867e-12,1.469081901593034e-08,1.3876303295981562e-07,3.3387545213648807e-07,FLAG,4.326372334702368
8,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-2.0762306307412528e-09,0.8591472052450835,-2.5788291031348814e-08,1.92538664673785e-08,-6.407240241835295e-09,0.5760223905808414,-3.176093486761512e-08,1.1917399132625352e-08,4.331009611094043e-09,4.331009611065971e-09,-3.405412935496042e-09,1.474554993137001e-08,0.0010461255106339292,3.041276935590147e-11,4.140047792584155e-06,0.4058408217516013,0.021149198461687946,True,50,3.643540953902536e-09,-2.076388451943529e-09,2.6552078035014526e-12,1.6519137226978375e-08,1.5545202924280015e-07,3.749572622379502e-07,FLAG,4.3267217072006785
9,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-4.020157852411702e-09,0.7539053299529406,-3.433024239914443e-08,1.731149114632896e-08,-6.975874832359432e-09,0.5792608154210648,-3.381862071894785e-08,1.3646362472801398e-08,2.95571697994773e-09,2.9557169799187407e-09,-6.58936408849725e-09,1.2941181066632174e-08,0.0010479362158357882,3.0946656351568474e-11,2.820512293834019e-06,0.6087847681838491,0.023785361001552707,False,50,3.30018065029881e-09,-4.020585312296705e-09,3.3434678053114338e-12,1.660518619465516e-08,1.6990440721630305e-07,4.120554600569234e-07,FLAG,4.330344363445848
10,30,cum_vol_30d_BBL,bhp_vw_avg_30d,561975,632,-5.451251728601665e-09,0.6957350507127993,-4.113062269199385e-08,1.7676455247107468e-08,-8.198620556476963e-09,0.5478205668952568,-3.7968933268567144e-08,1.4009562677192712e-08,2.7473688278752982e-09,2.747368827839344e-09,-8.327392236962958e-09,1.4234371912680649e-08,0.001048743401744145,3.0943955429036955e-11,2.6196768659237783e-06,0.6619700311629975,0.024727512067691304,False,50,3.702889829297174e-09,-5.451661625781728e-09,4.182612837901935e-12,1.6850828818110423e-08,1.817644440053663e-07,4.430572627779931e-07,FLAG,4.334293329772481
