radius_km,TE,NDE,NDE_ci_low,NDE_ci_high,NIE,NIE_ci_low,NIE_ci_high,pct_mediated,sigma_M,sigma_Y,bias_unit,rho_NDE_flip,rho_NIE_nonsig
1,0.0016649,0.0018207,0.0010002,0.0026412,-0.00015575,-0.00078482,0.00047332,-9.4,627.6361,0.0735,46.105,0.0,0.0
2,0.0039989,0.0043475,0.0025878,0.0061072,-0.00034858,-0.0019045,0.0012073,-8.7,626.5896,0.13,81.479,0.0001,0.0
3,0.0078569,0.009291,0.0060674,0.012515,-0.0014341,-0.0060857,0.0032175,-18.3,626.678,0.1844,115.54,0.0001,0.0
4,0.010762,0.012256,0.0084832,0.016029,-0.0014944,-0.007293,0.0043042,-13.9,629.9597,0.226,142.37,0.0001,0.0
5,0.00803,0.0093375,0.0042281,0.014447,-0.0013075,-0.0083919,0.0057768,-16.3,624.075,0.2621,163.6,0.0001,0.0
6,0.0096039,0.010241,0.0045779,0.015903,-0.00063673,-0.008665,0.0073916,-6.6,617.4566,0.2997,185.05,0.0001,0.0
7,0.0089458,0.010105,0.0035184,0.016691,-0.001159,-0.010166,0.0078482,-13.0,616.1011,0.3367,207.43,0.0,0.0
8,0.0042998,0.0074587,0.00055494,0.014363,-0.0031589,-0.01288,0.0065622,-73.5,616.7456,0.3723,229.6,0.0,0.0
9,0.0037766,0.0087348,0.001556,0.015914,-0.0049583,-0.015342,0.0054258,-131.3,615.5824,0.4077,251.0,0.0,0.0
10,0.0042242,0.0077003,-0.00043171,0.015832,-0.0034761,-0.014161,0.0072084,-82.3,610.8788,0.4396,268.51,0.0,0.0
11,0.0069463,0.0095974,0.00016169,0.019033,-0.0026511,-0.015497,0.010195,-38.2,616.5257,0.4699,289.73,0.0,0.0
12,0.0052889,0.0093231,-0.00040909,0.019055,-0.0040341,-0.017312,0.0092441,-76.3,619.4258,0.4975,308.15,0.0,0.0
13,0.010106,0.012706,0.0023799,0.023032,-0.0026003,-0.016965,0.011764,-25.7,615.2854,0.5212,320.66,0.0,0.0
14,0.012958,0.015267,0.0045207,0.026013,-0.0023091,-0.01773,0.013112,-17.8,613.0699,0.5446,333.85,0.0,0.0
15,0.019758,0.02272,0.011254,0.034185,-0.0029622,-0.020954,0.015029,-15.0,615.0601,0.5674,349.01,0.0001,0.0
16,0.027422,0.030696,0.018404,0.042988,-0.0032738,-0.02261,0.016062,-11.9,605.6199,0.5913,358.08,0.0001,0.0
17,0.038945,0.041199,0.027951,0.054446,-0.0022536,-0.023992,0.019484,-5.8,611.0914,0.6136,374.99,0.0001,0.0
18,0.033088,0.036025,0.021889,0.050162,-0.0029376,-0.024843,0.018968,-8.9,608.7115,0.635,386.54,0.0001,0.0
19,0.031544,0.036103,0.021767,0.050439,-0.0045591,-0.029726,0.020608,-14.5,612.6004,0.6527,399.86,0.0001,0.0
20,0.036584,0.042611,0.027148,0.058074,-0.006027,-0.031773,0.019719,-16.5,611.157,0.6699,409.44,0.0001,0.0
