radius_km,M_thr,W,P_exceed,P_lo,P_hi
12,2.0,10000.0,0.00014900660019068201,0.0001487377933891988,0.00014927540699216524
12,2.0,10985.411419875572,0.00014902147810258448,0.00014872615515718648,0.00014931680104798248
12,2.0,12067.92640639329,0.00014903782370456753,0.00014871336597061083,0.00014936228143852423
12,2.0,13257.113655901081,0.00014905578195645308,0.0001486993115625578,0.00014941225235034835
12,2.0,14563.484775012445,0.00014907551217102633,0.0001486838662297246,0.00014946715811232805
12,2.0,15998.587196060573,0.00014909718944289274,0.000148666891669226,0.0001495274872165595
12,2.0,17575.10624854793,0.00014912100622088698,0.00014864823569300274,0.0001495937767487712
12,2.0,19306.977288832495,0.00014914717403846645,0.00014862773080586954,0.00014966661727106335
12,2.0,21209.508879201927,0.00014917592541996427,0.0001486051926334283,0.00014974665820650023
12,2.0,23299.51810515372,0.0001492075159789108,0.000148580418180737,0.0001498346137770846
12,2.0,25595.479226995332,0.00014924222672951792,0.0001485531839033605,0.00014993126955567535
12,2.0,28117.68697974231,0.00014928036663452993,0.00014852324356984486,0.000150037489699215
12,2.0,30888.435964774784,0.00014932227541164522,0.00014849032588832637,0.00015015422493496407
12,2.0,33932.217718953296,0.00014936832662881816,0.00014845413187203322,0.0001502825213856031
12,2.0,37275.93720314938,0.00014941893111741766,0.00014841433191019825,0.00015042353032463708
12,2.0,40949.15062380427,0.0001494745407379927,0.00014837056250878542,0.0001505785189672
12,2.0,44984.32668969444,0.00014953565253661427,0.00014832242265961805,0.0001507488824136105
12,2.0,49417.13361323838,0.00014960281333387115,0.0001482694697902339,0.0001509361568775084
12,2.0,54286.754393238596,0.00014967662479536958,0.0001482112152416307,0.00015114203434910846
12,2.0,59636.23316594637,0.00014975774903569494,0.0001481471192104039,0.000151368378860986
12,2.0,65512.85568595509,0.00014984691481634282,0.0001480765850843988,0.00015161724454828686
12,2.0,71968.56730011514,0.00014994492440500995,0.00014799895308940735,0.00015189089572061255
12,2.0,79060.43210907701,0.00015005266117107396,0.00014791349315039227,0.00015219182919175566
12,2.0,86851.13737513521,0.00015017109800385953,0.00014781939685743313,0.00015252279915028592
12,2.0,95409.54763499944,0.00015030130664961394,0.0001477157684066176,0.00015288684489261027
12,2.0,104811.31341546852,0.0001504444680754391,0.00014760161436407036,0.00015328732178680784
12,2.0,115139.53993264481,0.00015060188398696717,0.00014747583207946256,0.00015372793589447177
12,2.0,126485.52168552957,0.00015077498963744773,0.00014733719653860222,0.00015421278273629324
12,2.0,138949.5494373136,0.00015096536809222627,0.00014718434541471546,0.00015474639076973708
12,2.0,152641.79671752334,0.0001511747661312457,0.00014701576202992824,0.00015533377023256315
12,2.0,167683.29368110065,0.0001514051119999582,0.0001468297558868532,0.0001559804681130632
12,2.0,184206.99693267164,0.00015165853525245243,0.00014662444036898928,0.00015669263013591558
12,2.0,202358.96477251555,0.00015193738896512876,0.00014639770713005141,0.0001574770708002061
