window_start,window_end,n_full,n_positives,n_subsample,n_clusters,n_basis,psi_plugin,psi_targeted,se_cluster,z,pval,converged,elapsed_sec
2018-07-10,2020-01-01,10181,44,10181,116,80,-0.0003607334579346779,-0.4564206603675277,0.020786282433832782,-21.95778210078753,0.0,False,18.640504121780396
2018-10-08,2020-03-31,20485,101,20485,123,83,-0.00029545092417171344,0.0011572920993341397,0.011635002889059998,0.09946642131239199,0.9207679475661781,True,25.330936670303345
2019-01-06,2020-06-29,31175,239,31175,125,86,-0.0002470021942412438,-0.0008066460860080028,0.023923482470094036,-0.0337177535509876,0.9731022217352319,False,46.09926152229309
2019-04-06,2020-09-27,41847,632,39861,121,84,-0.00012859887318522522,-0.00014465199240704384,0.030665459954719827,-0.004717098410414677,0.9962363139641881,True,103.2457685470581
2019-07-05,2020-12-26,52659,1061,39585,98,80,-0.0005173139414966257,-0.0005606735176077058,0.00975935253479838,-0.057449868278509605,0.9541868394250845,False,117.18744540214539
2019-10-03,2021-03-26,63619,1637,39985,81,85,-0.0008146739164613773,0.18967633551774563,0.04748696483908228,3.994282139540743,6.489055623459805e-05,False,131.12876963615417
2020-01-01,2021-06-24,68375,2401,39617,75,74,-0.002143803574905048,-0.23888537192005935,0.01908064323831798,-12.519775614289921,0.0,False,223.26740264892578
2020-03-31,2021-09-22,69621,3030,39558,75,74,-0.0026999365529933716,0.06595114962781919,0.012329207226800634,5.349180074162252,8.83535973272842e-08,False,233.21237540245056
2020-06-29,2021-12-21,70855,3091,39721,78,72,-0.0036437745874338067,0.1040771041807699,0.03133378698615631,3.3215616173925153,0.000895152148872258,False,151.5494728088379
2020-09-27,2022-03-21,72211,3018,39840,78,70,-0.001367594217774804,0.058599203092645366,0.05632608161268963,1.0403564639128675,0.29817432036101876,True,67.67425441741943
2020-12-26,2022-06-19,73581,2713,39818,77,70,-0.0015821781656021596,-0.0015819524757306148,0.019269876478867028,-0.08209458309011568,0.9345715006536135,False,81.45817065238953
2021-03-26,2022-09-17,74955,2288,39564,77,69,-0.0009271975669404044,0.006124703437121416,0.007933437534547857,0.7720113015890123,0.44010773387314917,False,45.13010382652283
2021-06-24,2022-12-16,76396,1680,39596,82,73,-0.000858593628119048,0.17332355228149016,0.03419570473073521,5.068576701263489,4.0080146823662233e-07,False,53.4400737285614
2021-09-22,2023-03-16,79007,1787,39512,91,76,-0.0012293803970838115,0.13782647484128727,0.01225997687378085,11.241984896076154,0.0,False,60.187960624694824
2021-12-21,2023-06-14,82204,2043,39638,89,83,0.0015069253690183787,0.019641368113414593,0.007639486187930088,2.571032610078768,0.01013957787537878,False,106.159015417099
2022-03-21,2023-09-12,85573,2075,39909,90,80,-0.00017955216581192325,0.05633220658502288,0.014207942685367781,3.964839092646205,7.344547316168182e-05,False,75.03786206245422
2022-06-19,2023-12-11,89248,2513,39997,96,79,-0.0010615587739450417,0.490321948330068,0.024159636632808595,20.295087868342137,0.0,False,60.0519700050354
2022-09-17,2024-03-10,97671,3375,39633,111,69,0.0016823428175283845,0.05580399718372938,0.008350150102484783,6.682993299380761,2.341105087566575e-11,False,165.2519211769104
2022-12-16,2024-06-08,108880,4356,39981,106,60,-0.0010048100243142271,-0.0010048016647748277,0.01652672248074822,-0.060798604559694706,0.9515196016673264,False,266.9348165988922
2023-03-16,2024-09-06,119988,4878,39960,106,64,5.567825370115046e-05,5.567825370115046e-05,0.006885754666849374,0.008086006021853583,0.9935483709416884,False,110.47923016548157
2023-06-14,2024-12-05,131386,5955,39863,103,64,0.003515069358155002,0.034624118061795536,0.007613863377889146,4.547509765192906,5.428440232879694e-06,False,162.38326287269592
2023-09-12,2025-03-05,142891,7133,39964,98,68,-0.0020335834958446412,-0.0017281899380547081,0.007727080643407831,-0.2236536691938204,0.823026799307836,False,108.95318150520325
2023-12-11,2025-06-03,154084,8040,39651,87,55,0.0007700232927048485,0.0007972910696132612,0.005854998211194538,0.13617272642182376,0.8916847354686872,False,61.82259798049927
2024-03-10,2025-09-01,159158,8462,39952,86,56,0.0032162684655059537,0.012390170248785966,0.013239178475289002,0.9358715325057583,0.3493393358468757,True,194.84574723243713
2024-06-08,2025-11-30,160980,8971,39861,92,68,0.0026996673649089193,0.0032641324686181234,0.015504832913278565,0.2105235501004769,0.8332590731676324,False,93.87847805023193
2024-09-06,2026-02-28,160852,8968,39533,87,62,-0.004548178716161313,-0.004544996363842013,0.014217905864733529,-0.3196670738350816,0.7492207223518303,True,258.3662111759186
