radius_km,window_days,n,n_clusters,a_high,a_low,TE,TE_ci_low,TE_ci_high,NDE,NDE_ci_low,NDE_ci_high,NIE,NIE_ci_low,NIE_ci_high,pct_mediated,n_iter_boot,elapsed_sec
1,365,451212,389,8011262.3933000015,110611.0,0.0016649401766477522,0.00028000537713523954,0.00283385650254786,0.0018206937852785952,0.0002890385629143566,0.0034862335072830303,-0.000155753608630843,-0.0010596805193927139,0.00015446225297637264,-9.354907210206356,100,642.1081328392029
2,365,451212,389,8011262.3933000015,110611.0,0.003998888044961221,0.00190073954872787,0.011306785652413963,0.004347469636748999,0.0016564398421905935,0.01324482685886323,-0.00034858159178777735,-0.0021853950340300797,0.0011478149099275465,-8.716963012430563,100,646.255574464798
3,365,451212,389,8011262.3933000015,110611.0,0.007856939267227874,0.0012809374369680882,0.017913312232121822,0.00929103703248635,0.0015645572915673257,0.019253973290324196,-0.0014340977652584769,-0.003238701866939664,0.003165745129808782,-18.25262632791691,100,649.2786891460419
4,365,451212,389,8011262.3933000015,110611.0,0.010761750266771817,0.002501851134002209,0.024940440617501725,0.012256142981987416,0.0026530394330620765,0.027468803478404875,-0.0014943927152155992,-0.005618999991565943,0.0032230019103735683,-13.886149354624166,100,650.8387145996094
5,365,451212,389,8011262.3933000015,110611.0,0.008029965267056786,-0.0005685596726834773,0.026517987344413966,0.009337509518752209,0.000297273835167289,0.02882886272855103,-0.0013075442516954222,-0.0065670421347022055,0.002222726307809352,-16.283311424268152,100,655.4111039638519
6,365,451212,389,8011262.3933000015,110611.0,0.009603893403999968,-0.0033585250377655028,0.028151693847030385,0.010240619898788536,-0.0014328114688396455,0.03008877672255039,-0.0006367264947885684,-0.006288268510252238,0.0017954283393919442,-6.6298788210557955,100,661.8740787506104
7,365,451212,389,8011262.3933000015,110611.0,0.008945761893162388,-0.005332114547491074,0.024690873920917508,0.010104719713915203,-0.003129008784890175,0.027085572108626346,-0.001158957820752815,-0.007943756505846977,0.0013229269534349424,-12.955384176261767,100,661.9794516563416
8,365,451212,389,8011262.3933000015,110611.0,0.00429983552431136,-0.007982587255537509,0.024075839668512324,0.007458720712392106,-0.003798067010939121,0.02911653164774177,-0.0031588851880807456,-0.009913553670048713,0.0020961981266736963,-73.4652562922545,100,668.0923345088959
9,365,451212,389,8011262.3933000015,110611.0,0.0037765514965578117,-0.012590867280960084,0.024530360102653498,0.00873484472436474,-0.00728299431502819,0.028689439594745635,-0.004958293227806929,-0.01167419794946909,0.0020575726404786104,-131.29155612802396,100,675.8273575305939
10,365,451212,389,8011262.3933000015,110611.0,0.004224157816624732,-0.016122025437653065,0.027534975484013537,0.007700300243568645,-0.011089509725570679,0.02955564707517622,-0.0034761424269439123,-0.011233608424663543,0.0017113922163844045,-82.29196393333349,100,685.3107304573059
11,365,451212,389,8011262.3933000015,110611.0,0.006946254739521124,-0.019093052297830582,0.025717983394861213,0.009597388003251245,-0.01264646165072918,0.02988105602562427,-0.002651133263730121,-0.012378355860710144,0.0002520747482776641,-38.16636969338805,100,655.1475296020508
12,365,451212,389,8011262.3933000015,110611.0,0.005288949093912559,-0.01951342411339283,0.030920708924531918,0.009323071054145149,-0.01509978137910366,0.03672231137752533,-0.0040341219602325895,-0.015441711619496345,0.000707087665796279,-76.27454695821817,100,658.8032071590424
13,365,451212,389,8011262.3933000015,110611.0,0.01010554630066307,-0.017733702063560487,0.03002362437546253,0.01270582936219794,-0.011794003844261169,0.030723650380969046,-0.0026002830615348693,-0.012572472169995307,0.001565716415643692,-25.73124682397678,100,668.6771032810211
14,365,451212,389,8011262.3933000015,110611.0,0.01295771593563283,-0.02072168290615082,0.03475862555205819,0.015266793787281852,-0.013973181322216987,0.03985785953700535,-0.002309077851649022,-0.011709230765700341,0.0008881293237209312,-17.820099337871856,100,674.1136739253998
15,365,451212,389,8011262.3933000015,110611.0,0.01975762253876351,-0.02077154517173767,0.039540116116404525,0.022719802495565267,-0.015838630497455597,0.04499175287783144,-0.002962179956801758,-0.013165683299303056,0.0021826338022947304,-14.992593116859599,100,688.0392723083496
16,365,451212,389,8011262.3933000015,110611.0,0.027422034734521483,-0.019415232166647912,0.04482922367751596,0.030695853213668023,-0.011184675246477127,0.05248613245785236,-0.0032738184791465397,-0.014351094141602516,0.0027622673660516613,-11.93864171948241,100,692.8206708431244
17,365,451212,389,8011262.3933000015,110611.0,0.03894496451599297,-0.009568504616618156,0.058416739106178284,0.04119856610479619,-0.005258768424391746,0.0601656150072813,-0.0022536015888032224,-0.01793392077088356,0.0021856412291526733,-5.786631511444228,100,698.8756814002991
18,365,451212,389,8011262.3933000015,110611.0,0.03308761697378443,-0.004624706134200096,0.06541832089424132,0.036025219366367656,-0.002428756654262543,0.0694857534021139,-0.0029376023925832273,-0.0142994724214077,0.003228932619094845,-8.878253138963474,100,713.0743546485901
19,365,451212,389,8011262.3933000015,110611.0,0.031543725934242206,-0.002397339791059494,0.06894029602408405,0.03610278353471502,0.0010136082768440247,0.07229182831943035,-0.004559057600472816,-0.012593839317560196,0.005145341157913206,-14.4531359737809,100,718.3542506694794
20,365,451212,389,8011262.3933000015,110611.0,0.036584287763705425,-0.0032666161656379695,0.07695311531424522,0.042611301541339575,0.0037426479160785676,0.08498990237712857,-0.006027013777634149,-0.01654801070690155,0.004117586463689797,-16.47432312079459,100,722.6592631340027
