radius_km,window_days,shift_pct,treatment_col,n,n_clusters,psi,se_iid,se_cluster,ci_low,ci_high,pval,epsilon,psi_under_shift,psi_no_shift,mean_H,max_H,elapsed_sec
1,365,0.1,cum_vol_365d_BBL,451212,389,9.354687256332012e-05,0.0004913770599491869,0.0005031955218106265,-0.0008926982273673471,0.0010797919724939873,0.8525187794297309,1.5362481062882966e-05,0.00308865295715631,0.0029951060845929897,1.1728275307941185,215.5365007070348,426.2864942550659
2,365,0.1,cum_vol_365d_BBL,451212,389,7.79817604296424e-05,0.0021035088910474693,0.0005297322963497506,-0.0009602744618635675,0.0011162379827228523,0.8829664627946854,-1.9600663634283718e-05,0.00956838409913928,0.009490402338709637,1.1489900185019848,271.6846895540123,421.83709597587585
3,365,0.1,cum_vol_365d_BBL,451212,389,0.0003950730992251343,0.002206761079806469,0.0013329256997098426,-0.002217413266274008,0.0030075594647242768,0.76692810733813,-5.7267119127374725e-05,0.019378659318970027,0.018983586219744893,1.1490620930898963,323.97951024700546,418.6544978618622
4,365,0.1,cum_vol_365d_BBL,451212,389,0.0006484267464496249,0.001690748171682718,0.00114764790798026,-0.0016009218201244227,0.0028977753130236725,0.5720703987461131,-9.907560147050514e-05,0.029943467185673638,0.029295040439224013,1.1480395784831372,144.27274015316385,420.56473183631897
5,365,0.1,cum_vol_365d_BBL,451212,389,0.0018632359073219099,0.00528122983369212,0.002620721400424993,-0.0032732836510244497,0.0069997554656682694,0.477107174128387,0.00043190559245944674,0.042416076637562555,0.040552840730240645,1.156080322756469,445.11768120427416,423.76331663131714
6,365,0.1,cum_vol_365d_BBL,451212,389,0.0017271822529842731,0.0033776131357302615,0.002497981975961599,-0.00316877245393066,0.006623136959899206,0.48929470892790716,0.00024479571694245735,0.05488684129974341,0.053159659046759136,1.1446393336369607,377.49271813220105,422.22570538520813
7,365,0.1,cum_vol_365d_BBL,451212,389,0.0014297156428834112,0.002439315205406286,0.0040533103064197,-0.006514626575864211,0.009374057861631034,0.7242924389718179,2.9661830793182716e-05,0.06873750452364484,0.06730778888076143,1.1497537875218276,256.5280311726921,420.6766400337219
8,365,0.1,cum_vol_365d_BBL,451212,389,0.0015245134548335093,0.0030148775061610757,0.0043430581823418945,-0.006987724165318595,0.010036751074985613,0.7255710688473844,0.00022893826149946567,0.08464976651429185,0.08312525305945834,1.1843769239525637,223.65299499038457,425.49706745147705
9,365,0.1,cum_vol_365d_BBL,451212,389,0.001815937914784696,0.0030158713501148692,0.005207099865968211,-0.00838979028641634,0.012021666115985732,0.7272825062856259,0.00017325080104508937,0.10292596320983934,0.10111002529505464,1.1796942766985934,237.12743343089377,418.19947052001953
10,365,0.1,cum_vol_365d_BBL,451212,389,0.0021275404725800973,0.005003089388056577,0.00903427790410909,-0.015579318845799724,0.019834399790959918,0.8138234254719197,0.00021344412878945634,0.12149351009024051,0.11936596961766041,1.1973483896216868,431.38301747674905,430.8155508041382
