radius_km,window_days,shift_pct,treatment_col,n,n_clusters,psi,se_iid,se_cluster,ci_low,ci_high,pval,epsilon,psi_under_shift,psi_no_shift,mean_H,max_H,elapsed_sec
1,365,0.1,cum_vol_365d_BBL,451212,389,4.128358025775464e-05,9.289521834081522e-05,0.00011278050157258394,-0.00017976214098287281,0.0002623293014983821,0.7143259291620403,-1.428499867750387e-05,0.0029865046462523794,0.0029452210659946247,0.702577749550736,5.295625081293109,2992.9663059711456
2,365,0.1,cum_vol_365d_BBL,451212,389,0.0004256722450247455,0.00017903754276341814,0.00032540630634272553,-0.00021211239574920433,0.0010634568857986952,0.19083078958792887,0.0001309449606775171,0.009944957100964559,0.009519284855939813,0.6928744569578015,5.162841076140109,3001.019804954529
3,365,0.1,cum_vol_365d_BBL,451212,389,0.0005768841786261934,0.00025381684243171843,0.00046676027126155075,-0.0003379491424605921,0.001491717499712979,0.21648366341778158,6.142263125885711e-05,0.019354764633225777,0.018777880454599584,0.6922252643178615,5.267412015355249,2996.5224137306213
4,365,0.1,cum_vol_365d_BBL,451212,389,0.0018439627135812368,0.00031449038114633206,0.0006108983400981289,0.000646623968773603,0.003041301458388871,0.0025407596436621827,0.0005293201291599567,0.031271644524428474,0.029427681810847237,0.6953567232248522,5.289851953881903,3090.727427959442
5,365,0.1,cum_vol_365d_BBL,451212,389,0.003178657970706218,0.000371745979654524,0.0008080808482510784,0.0015948486115375277,0.004762467329874909,8.368681687898061e-05,0.0010495762554841442,0.04362764743115371,0.04044898946044749,0.6936980050575727,5.318967814084789,3027.4306738376617
6,365,0.1,cum_vol_365d_BBL,451212,389,0.0044464276552129214,0.00042067762553434855,0.0009111874162968622,0.0026605331361049664,0.0062323221743208765,1.061844336014417e-06,0.0015806080796738728,0.058010307439805474,0.05356387978459255,0.6927209855938458,5.31356406306514,3082.2473855018616
7,365,0.1,cum_vol_365d_BBL,451212,389,0.004259628258833914,0.000458328248110152,0.0010596661739792727,0.0021827207221991845,0.006336535795468643,5.825172719520211e-05,0.0014424739941358115,0.07239933098676408,0.06813970272793017,0.6925176464108944,5.239677841329044,3111.2500443458557
8,365,0.1,cum_vol_365d_BBL,451212,389,0.005544319604492864,0.0005081453577437762,0.0011817155974741776,0.0032281995934742447,0.007860439615511484,2.7087189820029778e-06,0.002084876162775687,0.08996712600600107,0.0844228064015082,0.6859153886986753,5.100006945369236,3088.105745792389
9,365,0.1,cum_vol_365d_BBL,451212,389,0.007594531216055994,0.0005769765212280105,0.0013132137522185471,0.005020679557704935,0.010168382874407054,7.3308292769525e-09,0.002877194006185948,0.11034715548060793,0.10275262426455194,0.6916289434881311,5.318790288742397,3116.414047718048
10,365,0.1,cum_vol_365d_BBL,451212,389,0.0079192358286833,0.000610644774145146,0.0014800465896127556,0.005018397817600965,0.010820073839765633,8.763084435869928e-08,0.0030051569271368215,0.12875486508272677,0.12083562925404347,0.689990208542461,5.262970358150021,3161.4944949150085
11,365,0.1,cum_vol_365d_BBL,451212,389,0.00913032440216735,0.0006538433222379269,0.001547906787244039,0.00609648284774393,0.01216416595659077,3.668263914846648e-09,0.003511692971063922,0.1489338438419329,0.13980351943976554,0.6919601815180687,5.384796174863975,3149.439235687256
12,365,0.1,cum_vol_365d_BBL,451212,389,0.009462352996095186,0.0007048526625365887,0.0017388235692783675,0.006054321424840197,0.012870384567350174,5.274097469865069e-08,0.003687046604161619,0.1680705667643081,0.1586082137682129,0.6944594144533222,5.4744393193913155,3141.692129611969
13,365,0.1,cum_vol_365d_BBL,451212,389,0.010083024298060766,0.0007331569002866186,0.0018510579874337584,0.006455017309395404,0.01371103128672613,5.117804846577201e-08,0.003948328012793512,0.1869119320444726,0.17682890774641183,0.693404436976551,5.449633721233563,3169.003083705902
14,365,0.1,cum_vol_365d_BBL,451212,389,0.010079182105461049,0.0007658402149887645,0.0020545762774163796,0.00605228659823457,0.014106077612687527,9.308381350159323e-07,0.003919789391767434,0.20523507470447722,0.19515589259901617,0.6927729640318173,5.442933615730055,3200.0434391498566
15,365,0.1,cum_vol_365d_BBL,451212,389,0.01179510363022332,0.0008008863025060327,0.0021875328014331476,0.0075076181244143406,0.016082589136032298,6.969075405649505e-08,0.004702632829652278,0.22763214558160969,0.21583704195138637,0.6934250975520704,5.433965357029418,3243.387064218521
16,365,0.1,cum_vol_365d_BBL,451212,389,0.012000978270657298,0.0008363971263676261,0.0023235056421904063,0.007446990894088491,0.016554965647226104,2.403992982458192e-07,0.004656447974008947,0.2489242269883083,0.236923248717651,0.6942401520246609,5.432873314689212,3250.3861310482025
17,365,0.1,cum_vol_365d_BBL,451212,389,0.011661660389682471,0.0008530086000030824,0.002404440653314317,0.006949043306222451,0.01637427747314249,1.2342958024547102e-06,0.0045852886129692,0.26936367525847993,0.25770201486879746,0.6914982134496106,5.269691412096845,1944.8215198516846
18,365,0.1,cum_vol_365d_BBL,451212,389,0.01383498989421722,0.0008739837660745497,0.0024728486039091355,0.008988295691335161,0.018681684097099277,2.2092951246222015e-08,0.005527709205084703,0.2947410642581429,0.2809060743639257,0.6889600638423748,5.300499472190074,1978.5099046230316
19,365,0.1,cum_vol_365d_BBL,451212,389,0.014568500684330243,0.0009218893703323691,0.0027021431380021515,0.009272397452773981,0.019864603915886507,6.988693534992763e-08,0.005728740072010505,0.3162439313762796,0.30167543069194935,0.6963074977584314,5.457949569117213,1999.628274679184
20,365,0.1,cum_vol_365d_BBL,451212,389,0.018000775324925555,0.0009305873066788184,0.0028368403539856288,0.012440670401223864,0.023560880248627247,2.2190493886853346e-10,0.007389555892931109,0.34119252479165885,0.3231917494667333,0.6911201840149596,5.233972686463815,2009.6353821754456
