API Number,Nearest Fault Dist (km),Fault Segments <= 1 km,Fault Segments <= 2 km,Fault Segments <= 3 km,Fault Segments <= 4 km,Fault Segments <= 5 km,Fault Segments <= 6 km,Fault Segments <= 7 km,Fault Segments <= 8 km,Fault Segments <= 9 km,Fault Segments <= 10 km,Fault Segments <= 11 km,Fault Segments <= 12 km,Fault Segments <= 13 km,Fault Segments <= 14 km,Fault Segments <= 15 km,Fault Segments <= 16 km,Fault Segments <= 17 km,Fault Segments <= 18 km,Fault Segments <= 19 km,Fault Segments <= 20 km
300438,4.782345140114162,0,0,0,0,1,3,6,13,19,24,29,34,53,70,93,116,142,171,204,230
301016,0.16487909877173723,6,23,44,69,92,136,187,243,299,372,437,509,571,635,715,779,834,909,1002,1087
303554,0.8746680852002846,2,19,28,53,74,93,138,192,251,298,354,415,479,551,625,709,808,895,993,1095
303637,0.07794645956692328,12,37,64,77,95,121,152,186,221,261,330,402,457,525,592,671,751,832,918,998
303782,0.02056638871916081,7,18,29,44,70,95,122,176,235,292,361,416,465,548,620,701,799,900,982,1075
304283,0.8106737591727449,3,19,40,66,92,112,140,173,208,258,319,374,436,509,583,662,744,825,908,998
304579,0.6265542057000253,3,8,16,33,58,86,108,159,210,247,300,364,430,497,600,677,764,853,948,1028
304586,0.08787973874116463,5,16,19,23,33,49,92,123,166,224,273,334,406,453,513,575,660,738,823,918
304632,0.19622296948513618,3,5,16,25,45,60,68,99,159,209,278,333,377,437,487,535,607,670,765,858
306772,2.1223272681398413,0,0,13,25,56,83,111,153,191,231,286,351,394,462,539,620,700,770,858,945
307100,0.06591448970128976,8,14,26,38,59,100,139,167,213,246,290,330,387,452,510,605,675,764,832,924
307440,0.7840533591053385,3,10,18,31,44,57,76,109,154,196,268,320,360,416,485,529,577,651,735,833
310195,0.08173453310575779,8,20,39,68,93,116,139,173,215,257,318,388,455,520,588,674,750,839,928,1021
310285,1.6259437002131194,0,8,22,34,44,55,67,95,120,141,159,190,223,266,310,366,401,475,549,644
310357,0.6575120973804233,5,9,11,25,33,57,79,104,131,161,199,223,258,295,349,403,454,521,591,650
330205,0.8000955616037486,3,10,24,37,64,88,128,161,201,231,259,308,363,405,448,496,552,622,704,816
330291,0.3359592917055496,10,21,40,67,97,115,134,170,215,275,327,392,465,531,593,674,762,839,925,1024
330440,0.09418728163228697,12,37,60,76,91,117,143,170,206,271,334,388,457,520,591,662,735,841,926,1013
330452,0.4109708136497167,10,29,51,73,95,116,135,160,210,273,331,385,458,520,588,660,757,835,923,1014
330453,0.6105727956776115,8,32,50,74,98,114,133,159,212,271,328,385,447,517,589,658,752,829,923,1010
330455,0.09116069445430242,13,36,57,79,90,118,148,178,210,269,337,396,451,519,591,670,743,837,927,1010
330456,0.28759028406576154,11,33,58,80,90,119,147,175,207,270,334,390,456,521,589,665,737,836,926,1007
330462,2.171537519308947,0,0,18,32,42,54,69,89,115,140,162,185,219,250,291,334,398,452,515,602
331809,0.28805251746909544,9,33,59,77,92,119,144,173,203,266,329,392,458,522,589,660,735,828,912,1000
332062,20.04612182310858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333217,0.41751550770107343,10,18,24,37,49,73,91,108,138,170,195,224,273,322,368,415,476,566,645,712
333351,0.1318041572022514,6,16,44,74,112,136,178,208,260,316,386,448,525,607,689,769,830,899,993,1088
333438,0.9030426173501457,2,8,23,35,63,84,109,143,177,229,272,344,422,488,572,665,732,798,876,977
333448,0.4230782059089814,5,18,38,71,102,145,184,240,289,336,397,471,542,621,688,752,829,939,1041,1132
